Group,Category,Indicator,Units,Year,Spending
Oahu visitors,Total Shopping,Daily spending ($),dollar,2010,23.22
Oahu visitors,Total Shopping,Daily spending ($),dollar,2011,24.62
Oahu visitors,Total Shopping,Daily spending ($),dollar,2012,41.6
Oahu visitors,Total Shopping,Daily spending ($),dollar,2013,36.46
Oahu visitors,Total Shopping,Daily spending ($),dollar,2014,37.38
Oahu visitors,Total Shopping,Daily spending ($),dollar,2015,34.01
Oahu visitors,Total Shopping,Daily spending ($),dollar,2016,32.12
Oahu visitors,Total Shopping,Daily spending ($),dollar,2017,32.75
Oahu visitors,Total Shopping,Daily spending ($),dollar,2018,31.35
Oahu visitors,Total Shopping,Daily spending ($),dollar,2019,22.47
Oahu visitors,Total Shopping,Daily spending ($),dollar,2021,30.87
Oahu visitors,Total Shopping,Daily spending ($),dollar,2022,32.39
Oahu visitors,Total Shopping,Daily spending ($),dollar,2023,27.91
Oahu visitors,Lodging,Daily spending ($),dollar,2010,68.17
Oahu visitors,Lodging,Daily spending ($),dollar,2011,77.28
Oahu visitors,Lodging,Daily spending ($),dollar,2012,92.18
Oahu visitors,Lodging,Daily spending ($),dollar,2013,94.83
Oahu visitors,Lodging,Daily spending ($),dollar,2014,92.76
Oahu visitors,Lodging,Daily spending ($),dollar,2015,89.1
Oahu visitors,Lodging,Daily spending ($),dollar,2016,88.25
Oahu visitors,Lodging,Daily spending ($),dollar,2017,87.16
Oahu visitors,Lodging,Daily spending ($),dollar,2018,85.38
Oahu visitors,Lodging,Daily spending ($),dollar,2019,87.31
Oahu visitors,Lodging,Daily spending ($),dollar,2021,89.7
Oahu visitors,Lodging,Daily spending ($),dollar,2022,105.09
Oahu visitors,Lodging,Daily spending ($),dollar,2023,97.85
Oahu visitors,All other expenses,Daily spending ($),dollar,2010,7.31
Oahu visitors,All other expenses,Daily spending ($),dollar,2011,6.96
Oahu visitors,All other expenses,Daily spending ($),dollar,2012,6.8
Oahu visitors,All other expenses,Daily spending ($),dollar,2013,7.56
Oahu visitors,All other expenses,Daily spending ($),dollar,2014,7.43
Oahu visitors,All other expenses,Daily spending ($),dollar,2015,8.03
Oahu visitors,All other expenses,Daily spending ($),dollar,2016,8.43
Oahu visitors,All other expenses,Daily spending ($),dollar,2017,7.97
Oahu visitors,All other expenses,Daily spending ($),dollar,2018,8.12
Oahu visitors,All other expenses,Daily spending ($),dollar,2019,7.2
Oahu visitors,All other expenses,Daily spending ($),dollar,2021,4.01
Oahu visitors,All other expenses,Daily spending ($),dollar,2022,7.41
Oahu visitors,All other expenses,Daily spending ($),dollar,2023,8.53
Visitors from US West,Total Food and beverage,Daily spending ($),dollar,2009,30.76
Visitors from US West,Total Food and beverage,Daily spending ($),dollar,2010,32.67
Visitors from US West,Total Food and beverage,Daily spending ($),dollar,2011,33.72
Visitors from US West,Total Food and beverage,Daily spending ($),dollar,2012,34.38
Visitors from US West,Total Food and beverage,Daily spending ($),dollar,2013,34.03
Visitors from US West,Total Food and beverage,Daily spending ($),dollar,2014,35.38
Visitors from US West,Total Food and beverage,Daily spending ($),dollar,2015,34.51
Visitors from US West,Total Food and beverage,Daily spending ($),dollar,2016,36.17
Visitors from US West,Total Food and beverage,Daily spending ($),dollar,2017,37.4
Visitors from US West,Total Food and beverage,Daily spending ($),dollar,2018,37.75
Visitors from US West,Total Food and beverage,Daily spending ($),dollar,2019,37.2
Visitors from US West,Total Food and beverage,Daily spending ($),dollar,2021,40.95
Visitors from US West,Total Food and beverage,Daily spending ($),dollar,2022,45.18
Visitors from US West,Total Food and beverage,Daily spending ($),dollar,2023,47.8
Hawaii ISL visitors,Total Food and beverage,Daily spending ($),dollar,2010,29.67
Hawaii ISL visitors,Total Food and beverage,Daily spending ($),dollar,2011,32.2
Hawaii ISL visitors,Total Food and beverage,Daily spending ($),dollar,2012,32.42
Hawaii ISL visitors,Total Food and beverage,Daily spending ($),dollar,2013,34.33
Hawaii ISL visitors,Total Food and beverage,Daily spending ($),dollar,2014,33.96
Hawaii ISL visitors,Total Food and beverage,Daily spending ($),dollar,2015,32.14
Hawaii ISL visitors,Total Food and beverage,Daily spending ($),dollar,2016,36.32
Hawaii ISL visitors,Total Food and beverage,Daily spending ($),dollar,2017,37.11
Hawaii ISL visitors,Total Food and beverage,Daily spending ($),dollar,2018,38.02
Hawaii ISL visitors,Total Food and beverage,Daily spending ($),dollar,2019,39.25
Hawaii ISL visitors,Total Food and beverage,Daily spending ($),dollar,2021,34.99
Hawaii ISL visitors,Total Food and beverage,Daily spending ($),dollar,2022,40.36
Hawaii ISL visitors,Total Food and beverage,Daily spending ($),dollar,2023,45.71
Visitors from US West,Total Entertainment & Recreation,Daily spending ($),dollar,2009,12.84
Visitors from US West,Total Entertainment & Recreation,Daily spending ($),dollar,2010,12.59
Visitors from US West,Total Entertainment & Recreation,Daily spending ($),dollar,2011,12.96
Visitors from US West,Total Entertainment & Recreation,Daily spending ($),dollar,2012,13.35
Visitors from US West,Total Entertainment & Recreation,Daily spending ($),dollar,2013,12.96
Visitors from US West,Total Entertainment & Recreation,Daily spending ($),dollar,2014,14.29
Visitors from US West,Total Entertainment & Recreation,Daily spending ($),dollar,2015,14.08
Visitors from US West,Total Entertainment & Recreation,Daily spending ($),dollar,2016,14.69
Visitors from US West,Total Entertainment & Recreation,Daily spending ($),dollar,2017,15.86
Visitors from US West,Total Entertainment & Recreation,Daily spending ($),dollar,2018,15.76
Visitors from US West,Total Entertainment & Recreation,Daily spending ($),dollar,2019,15.14
Visitors from US West,Total Entertainment & Recreation,Daily spending ($),dollar,2021,16.37
Visitors from US West,Total Entertainment & Recreation,Daily spending ($),dollar,2022,19.28
Visitors from US West,Total Entertainment & Recreation,Daily spending ($),dollar,2023,19.23
Hawaii ISL visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2010,15.77
Hawaii ISL visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2011,16.32
Hawaii ISL visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2012,17.26
Hawaii ISL visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2013,19.04
Hawaii ISL visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2014,18.1
Hawaii ISL visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2015,16.97
Hawaii ISL visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2016,18.16
Hawaii ISL visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2017,20.29
Hawaii ISL visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2018,19.54
Hawaii ISL visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2019,17.26
Hawaii ISL visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2021,16.94
Hawaii ISL visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2022,18.95
Hawaii ISL visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2023,19.88
Visitors from US West,Total Transportation,Daily spending ($),dollar,2009,15.44
Visitors from US West,Total Transportation,Daily spending ($),dollar,2010,16.33
Visitors from US West,Total Transportation,Daily spending ($),dollar,2011,16.37
Visitors from US West,Total Transportation,Daily spending ($),dollar,2012,17.21
Visitors from US West,Total Transportation,Daily spending ($),dollar,2013,17.02
Visitors from US West,Total Transportation,Daily spending ($),dollar,2014,16.88
Visitors from US West,Total Transportation,Daily spending ($),dollar,2015,16.29
Visitors from US West,Total Transportation,Daily spending ($),dollar,2016,18.15
Visitors from US West,Total Transportation,Daily spending ($),dollar,2017,19.2
Visitors from US West,Total Transportation,Daily spending ($),dollar,2018,19.46
Visitors from US West,Total Transportation,Daily spending ($),dollar,2019,18.59
Visitors from US West,Total Transportation,Daily spending ($),dollar,2021,23.39
Visitors from US West,Total Transportation,Daily spending ($),dollar,2022,24.99
Visitors from US West,Total Transportation,Daily spending ($),dollar,2023,22.23
Hawaii ISL visitors,Total Transportation,Daily spending ($),dollar,2010,21.03
Hawaii ISL visitors,Total Transportation,Daily spending ($),dollar,2011,21.21
Hawaii ISL visitors,Total Transportation,Daily spending ($),dollar,2012,24.06
Hawaii ISL visitors,Total Transportation,Daily spending ($),dollar,2013,24.3
Hawaii ISL visitors,Total Transportation,Daily spending ($),dollar,2014,25.03
Hawaii ISL visitors,Total Transportation,Daily spending ($),dollar,2015,23.84
Hawaii ISL visitors,Total Transportation,Daily spending ($),dollar,2016,30.53
Hawaii ISL visitors,Total Transportation,Daily spending ($),dollar,2017,29.79
Hawaii ISL visitors,Total Transportation,Daily spending ($),dollar,2018,28.31
Hawaii ISL visitors,Total Transportation,Daily spending ($),dollar,2019,26.2
Hawaii ISL visitors,Total Transportation,Daily spending ($),dollar,2021,24.34
Hawaii ISL visitors,Total Transportation,Daily spending ($),dollar,2022,29.77
Hawaii ISL visitors,Total Transportation,Daily spending ($),dollar,2023,29.74
Visitors from US West,Total Shopping,Daily spending ($),dollar,2009,16.32
Visitors from US West,Total Shopping,Daily spending ($),dollar,2010,16.08
Visitors from US West,Total Shopping,Daily spending ($),dollar,2011,16.16
Visitors from US West,Total Shopping,Daily spending ($),dollar,2012,16.4
Visitors from US West,Total Shopping,Daily spending ($),dollar,2013,15.63
Visitors from US West,Total Shopping,Daily spending ($),dollar,2014,16.16
Visitors from US West,Total Shopping,Daily spending ($),dollar,2015,16.33
Visitors from US West,Total Shopping,Daily spending ($),dollar,2016,16.24
Visitors from US West,Total Shopping,Daily spending ($),dollar,2017,17
Visitors from US West,Total Shopping,Daily spending ($),dollar,2018,16.64
Visitors from US West,Total Shopping,Daily spending ($),dollar,2019,16.74
Visitors from US West,Total Shopping,Daily spending ($),dollar,2021,20.94
Visitors from US West,Total Shopping,Daily spending ($),dollar,2022,21.86
Visitors from US West,Total Shopping,Daily spending ($),dollar,2023,21.69
Hawaii ISL visitors,Total Shopping,Daily spending ($),dollar,2010,15.32
Hawaii ISL visitors,Total Shopping,Daily spending ($),dollar,2011,16.36
Hawaii ISL visitors,Total Shopping,Daily spending ($),dollar,2012,16.93
Hawaii ISL visitors,Total Shopping,Daily spending ($),dollar,2013,16.15
Hawaii ISL visitors,Total Shopping,Daily spending ($),dollar,2014,15.39
Hawaii ISL visitors,Total Shopping,Daily spending ($),dollar,2015,13.86
Hawaii ISL visitors,Total Shopping,Daily spending ($),dollar,2016,15.24
Hawaii ISL visitors,Total Shopping,Daily spending ($),dollar,2017,16.92
Hawaii ISL visitors,Total Shopping,Daily spending ($),dollar,2018,15.87
Hawaii ISL visitors,Total Shopping,Daily spending ($),dollar,2019,14.87
Hawaii ISL visitors,Total Shopping,Daily spending ($),dollar,2021,12.63
Hawaii ISL visitors,Total Shopping,Daily spending ($),dollar,2022,15.11
Hawaii ISL visitors,Total Shopping,Daily spending ($),dollar,2023,16.97
Visitors from US West,Lodging,Daily spending ($),dollar,2009,54.44
Visitors from US West,Lodging,Daily spending ($),dollar,2010,58.15
Visitors from US West,Lodging,Daily spending ($),dollar,2011,60.8
Visitors from US West,Lodging,Daily spending ($),dollar,2012,67.43
Visitors from US West,Lodging,Daily spending ($),dollar,2013,72.61
Visitors from US West,Lodging,Daily spending ($),dollar,2014,73.16
Visitors from US West,Lodging,Daily spending ($),dollar,2015,76.28
Visitors from US West,Lodging,Daily spending ($),dollar,2016,78.39
Visitors from US West,Lodging,Daily spending ($),dollar,2017,80.61
Visitors from US West,Lodging,Daily spending ($),dollar,2018,82.14
Visitors from US West,Lodging,Daily spending ($),dollar,2019,82.89
Visitors from US West,Lodging,Daily spending ($),dollar,2021,90.51
Visitors from US West,Lodging,Daily spending ($),dollar,2022,105.98
Visitors from US West,Lodging,Daily spending ($),dollar,2023,108.83
Hawaii ISL visitors,Lodging,Daily spending ($),dollar,2010,54.97
Hawaii ISL visitors,Lodging,Daily spending ($),dollar,2011,58.77
Hawaii ISL visitors,Lodging,Daily spending ($),dollar,2012,62.77
Hawaii ISL visitors,Lodging,Daily spending ($),dollar,2013,70.69
Hawaii ISL visitors,Lodging,Daily spending ($),dollar,2014,73.63
Hawaii ISL visitors,Lodging,Daily spending ($),dollar,2015,68.03
Hawaii ISL visitors,Lodging,Daily spending ($),dollar,2016,74.13
Hawaii ISL visitors,Lodging,Daily spending ($),dollar,2017,74.14
Hawaii ISL visitors,Lodging,Daily spending ($),dollar,2018,75.99
Hawaii ISL visitors,Lodging,Daily spending ($),dollar,2019,74.68
Hawaii ISL visitors,Lodging,Daily spending ($),dollar,2021,75.21
Hawaii ISL visitors,Lodging,Daily spending ($),dollar,2022,88.62
Hawaii ISL visitors,Lodging,Daily spending ($),dollar,2023,95.97
Visitors from US West,All other expenses,Daily spending ($),dollar,2009,3.45
Visitors from US West,All other expenses,Daily spending ($),dollar,2010,4.11
Visitors from US West,All other expenses,Daily spending ($),dollar,2011,3.99
Visitors from US West,All other expenses,Daily spending ($),dollar,2012,3.5
Visitors from US West,All other expenses,Daily spending ($),dollar,2013,4.25
Visitors from US West,All other expenses,Daily spending ($),dollar,2014,4.31
Visitors from US West,All other expenses,Daily spending ($),dollar,2015,4.53
Visitors from US West,All other expenses,Daily spending ($),dollar,2016,4.29
Visitors from US West,All other expenses,Daily spending ($),dollar,2017,4.22
Visitors from US West,All other expenses,Daily spending ($),dollar,2018,4.04
Visitors from US West,All other expenses,Daily spending ($),dollar,2019,4.31
Visitors from US West,All other expenses,Daily spending ($),dollar,2021,3.3
Visitors from US West,All other expenses,Daily spending ($),dollar,2022,4.54
Visitors from US West,All other expenses,Daily spending ($),dollar,2023,5.61
Hawaii ISL visitors,All other expenses,Daily spending ($),dollar,2010,7.17
Hawaii ISL visitors,All other expenses,Daily spending ($),dollar,2011,5.86
Hawaii ISL visitors,All other expenses,Daily spending ($),dollar,2012,5.45
Hawaii ISL visitors,All other expenses,Daily spending ($),dollar,2013,6.41
Hawaii ISL visitors,All other expenses,Daily spending ($),dollar,2014,6.07
Hawaii ISL visitors,All other expenses,Daily spending ($),dollar,2015,5.54
Hawaii ISL visitors,All other expenses,Daily spending ($),dollar,2016,5.27
Hawaii ISL visitors,All other expenses,Daily spending ($),dollar,2017,5.93
Hawaii ISL visitors,All other expenses,Daily spending ($),dollar,2018,6.02
Hawaii ISL visitors,All other expenses,Daily spending ($),dollar,2019,6.18
Hawaii ISL visitors,All other expenses,Daily spending ($),dollar,2021,3.46
Hawaii ISL visitors,All other expenses,Daily spending ($),dollar,2022,5.04
Hawaii ISL visitors,All other expenses,Daily spending ($),dollar,2023,7.78
Visitors from US East,Total Food and beverage,Daily spending ($),dollar,2009,35.94
Visitors from US East,Total Food and beverage,Daily spending ($),dollar,2010,37.97
Visitors from US East,Total Food and beverage,Daily spending ($),dollar,2011,40.75
Visitors from US East,Total Food and beverage,Daily spending ($),dollar,2012,41.65
Visitors from US East,Total Food and beverage,Daily spending ($),dollar,2013,41.5
Visitors from US East,Total Food and beverage,Daily spending ($),dollar,2014,42.1
Visitors from US East,Total Food and beverage,Daily spending ($),dollar,2015,40.04
Visitors from US East,Total Food and beverage,Daily spending ($),dollar,2016,40.68
Visitors from US East,Total Food and beverage,Daily spending ($),dollar,2017,42.39
Visitors from US East,Total Food and beverage,Daily spending ($),dollar,2018,42.08
Visitors from US East,Total Food and beverage,Daily spending ($),dollar,2019,43.16
Visitors from US East,Total Food and beverage,Daily spending ($),dollar,2021,44.5
Visitors from US East,Total Food and beverage,Daily spending ($),dollar,2022,48.88
Visitors from US East,Total Food and beverage,Daily spending ($),dollar,2023,51.63
Maui visitors,Total Food and beverage,Daily spending ($),dollar,2010,36.6
Maui visitors,Total Food and beverage,Daily spending ($),dollar,2011,37.35
Maui visitors,Total Food and beverage,Daily spending ($),dollar,2012,37.84
Maui visitors,Total Food and beverage,Daily spending ($),dollar,2013,37.72
Maui visitors,Total Food and beverage,Daily spending ($),dollar,2014,41.04
Maui visitors,Total Food and beverage,Daily spending ($),dollar,2015,40.05
Maui visitors,Total Food and beverage,Daily spending ($),dollar,2016,42.72
Maui visitors,Total Food and beverage,Daily spending ($),dollar,2017,42.93
Maui visitors,Total Food and beverage,Daily spending ($),dollar,2018,42.03
Maui visitors,Total Food and beverage,Daily spending ($),dollar,2019,42.81
Maui visitors,Total Food and beverage,Daily spending ($),dollar,2021,41.2
Maui visitors,Total Food and beverage,Daily spending ($),dollar,2022,46.16
Maui visitors,Total Food and beverage,Daily spending ($),dollar,2023,55.86
Visitors from US East,Total Entertainment & Recreation,Daily spending ($),dollar,2009,18.06
Visitors from US East,Total Entertainment & Recreation,Daily spending ($),dollar,2010,17.57
Visitors from US East,Total Entertainment & Recreation,Daily spending ($),dollar,2011,18.74
Visitors from US East,Total Entertainment & Recreation,Daily spending ($),dollar,2012,19.12
Visitors from US East,Total Entertainment & Recreation,Daily spending ($),dollar,2013,19.29
Visitors from US East,Total Entertainment & Recreation,Daily spending ($),dollar,2014,20.66
Visitors from US East,Total Entertainment & Recreation,Daily spending ($),dollar,2015,19.51
Visitors from US East,Total Entertainment & Recreation,Daily spending ($),dollar,2016,20.31
Visitors from US East,Total Entertainment & Recreation,Daily spending ($),dollar,2017,21.76
Visitors from US East,Total Entertainment & Recreation,Daily spending ($),dollar,2018,22.14
Visitors from US East,Total Entertainment & Recreation,Daily spending ($),dollar,2019,21.85
Visitors from US East,Total Entertainment & Recreation,Daily spending ($),dollar,2021,21.8
Visitors from US East,Total Entertainment & Recreation,Daily spending ($),dollar,2022,26.3
Visitors from US East,Total Entertainment & Recreation,Daily spending ($),dollar,2023,26.9
Maui visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2010,16.55
Maui visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2011,16.54
Maui visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2012,16.43
Maui visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2013,14.53
Maui visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2014,17.57
Maui visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2015,16.25
Maui visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2016,17.42
Maui visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2017,17.82
Maui visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2018,17.91
Maui visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2019,17.38
Maui visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2021,15.88
Maui visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2022,20.19
Maui visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2023,23.73
Visitors from US East,Total Transportation,Daily spending ($),dollar,2009,18.95
Visitors from US East,Total Transportation,Daily spending ($),dollar,2010,20.63
Visitors from US East,Total Transportation,Daily spending ($),dollar,2011,20.32
Visitors from US East,Total Transportation,Daily spending ($),dollar,2012,21.49
Visitors from US East,Total Transportation,Daily spending ($),dollar,2013,20.79
Visitors from US East,Total Transportation,Daily spending ($),dollar,2014,20.88
Visitors from US East,Total Transportation,Daily spending ($),dollar,2015,20.09
Visitors from US East,Total Transportation,Daily spending ($),dollar,2016,22.01
Visitors from US East,Total Transportation,Daily spending ($),dollar,2017,23.22
Visitors from US East,Total Transportation,Daily spending ($),dollar,2018,23.28
Visitors from US East,Total Transportation,Daily spending ($),dollar,2019,22.1
Visitors from US East,Total Transportation,Daily spending ($),dollar,2021,25.9
Visitors from US East,Total Transportation,Daily spending ($),dollar,2022,27.31
Visitors from US East,Total Transportation,Daily spending ($),dollar,2023,24.31
Maui visitors,Total Transportation,Daily spending ($),dollar,2010,18.65
Maui visitors,Total Transportation,Daily spending ($),dollar,2011,18.64
Maui visitors,Total Transportation,Daily spending ($),dollar,2012,20.08
Maui visitors,Total Transportation,Daily spending ($),dollar,2013,20.69
Maui visitors,Total Transportation,Daily spending ($),dollar,2014,19.8
Maui visitors,Total Transportation,Daily spending ($),dollar,2015,19.64
Maui visitors,Total Transportation,Daily spending ($),dollar,2016,22.37
Maui visitors,Total Transportation,Daily spending ($),dollar,2017,23.56
Maui visitors,Total Transportation,Daily spending ($),dollar,2018,24.71
Maui visitors,Total Transportation,Daily spending ($),dollar,2019,21.78
Maui visitors,Total Transportation,Daily spending ($),dollar,2021,23.69
Maui visitors,Total Transportation,Daily spending ($),dollar,2022,26.52
Maui visitors,Total Transportation,Daily spending ($),dollar,2023,26.03
Visitors from US East,Total Shopping,Daily spending ($),dollar,2009,19.47
Visitors from US East,Total Shopping,Daily spending ($),dollar,2010,18.94
Visitors from US East,Total Shopping,Daily spending ($),dollar,2011,19.82
Visitors from US East,Total Shopping,Daily spending ($),dollar,2012,19.7
Visitors from US East,Total Shopping,Daily spending ($),dollar,2013,19.33
Visitors from US East,Total Shopping,Daily spending ($),dollar,2014,19.38
Visitors from US East,Total Shopping,Daily spending ($),dollar,2015,18.62
Visitors from US East,Total Shopping,Daily spending ($),dollar,2016,18.5
Visitors from US East,Total Shopping,Daily spending ($),dollar,2017,19.36
Visitors from US East,Total Shopping,Daily spending ($),dollar,2018,18.77
Visitors from US East,Total Shopping,Daily spending ($),dollar,2019,18.89
Visitors from US East,Total Shopping,Daily spending ($),dollar,2021,20.3
Visitors from US East,Total Shopping,Daily spending ($),dollar,2022,22.34
Visitors from US East,Total Shopping,Daily spending ($),dollar,2023,22.85
Maui visitors,Total Shopping,Daily spending ($),dollar,2010,18.25
Maui visitors,Total Shopping,Daily spending ($),dollar,2011,18.6
Maui visitors,Total Shopping,Daily spending ($),dollar,2012,18.06
Maui visitors,Total Shopping,Daily spending ($),dollar,2013,16.9
Maui visitors,Total Shopping,Daily spending ($),dollar,2014,18.82
Maui visitors,Total Shopping,Daily spending ($),dollar,2015,17.64
Maui visitors,Total Shopping,Daily spending ($),dollar,2016,17.86
Maui visitors,Total Shopping,Daily spending ($),dollar,2017,17.59
Maui visitors,Total Shopping,Daily spending ($),dollar,2018,17.33
Maui visitors,Total Shopping,Daily spending ($),dollar,2019,18.15
Maui visitors,Total Shopping,Daily spending ($),dollar,2021,16.73
Maui visitors,Total Shopping,Daily spending ($),dollar,2022,17.81
Maui visitors,Total Shopping,Daily spending ($),dollar,2023,21.11
Visitors from US East,Lodging,Daily spending ($),dollar,2009,64.15
Visitors from US East,Lodging,Daily spending ($),dollar,2010,66.54
Visitors from US East,Lodging,Daily spending ($),dollar,2011,72.06
Visitors from US East,Lodging,Daily spending ($),dollar,2012,80.34
Visitors from US East,Lodging,Daily spending ($),dollar,2013,87.01
Visitors from US East,Lodging,Daily spending ($),dollar,2014,91.15
Visitors from US East,Lodging,Daily spending ($),dollar,2015,87.41
Visitors from US East,Lodging,Daily spending ($),dollar,2016,89.63
Visitors from US East,Lodging,Daily spending ($),dollar,2017,89.58
Visitors from US East,Lodging,Daily spending ($),dollar,2018,92.64
Visitors from US East,Lodging,Daily spending ($),dollar,2019,95.39
Visitors from US East,Lodging,Daily spending ($),dollar,2021,96.2
Visitors from US East,Lodging,Daily spending ($),dollar,2022,117.91
Visitors from US East,Lodging,Daily spending ($),dollar,2023,121.89
Maui visitors,Lodging,Daily spending ($),dollar,2010,73.8
Maui visitors,Lodging,Daily spending ($),dollar,2011,76.64
Maui visitors,Lodging,Daily spending ($),dollar,2012,87.08
Maui visitors,Lodging,Daily spending ($),dollar,2013,93.61
Maui visitors,Lodging,Daily spending ($),dollar,2014,97.02
Maui visitors,Lodging,Daily spending ($),dollar,2015,96.48
Maui visitors,Lodging,Daily spending ($),dollar,2016,103.69
Maui visitors,Lodging,Daily spending ($),dollar,2017,102.9
Maui visitors,Lodging,Daily spending ($),dollar,2018,104.06
Maui visitors,Lodging,Daily spending ($),dollar,2019,104.81
Maui visitors,Lodging,Daily spending ($),dollar,2021,101.37
Maui visitors,Lodging,Daily spending ($),dollar,2022,127.95
Maui visitors,Lodging,Daily spending ($),dollar,2023,151.12
Visitors from US East,All other expenses,Daily spending ($),dollar,2009,9.03
Visitors from US East,All other expenses,Daily spending ($),dollar,2010,9.4
Visitors from US East,All other expenses,Daily spending ($),dollar,2011,9.24
Visitors from US East,All other expenses,Daily spending ($),dollar,2012,10.07
Visitors from US East,All other expenses,Daily spending ($),dollar,2013,11
Visitors from US East,All other expenses,Daily spending ($),dollar,2014,10.69
Visitors from US East,All other expenses,Daily spending ($),dollar,2015,12.1
Visitors from US East,All other expenses,Daily spending ($),dollar,2016,10.57
Visitors from US East,All other expenses,Daily spending ($),dollar,2017,12.08
Visitors from US East,All other expenses,Daily spending ($),dollar,2018,11.26
Visitors from US East,All other expenses,Daily spending ($),dollar,2019,11.2
Visitors from US East,All other expenses,Daily spending ($),dollar,2021,3.7
Visitors from US East,All other expenses,Daily spending ($),dollar,2022,9.41
Visitors from US East,All other expenses,Daily spending ($),dollar,2023,14.98
Maui visitors,All other expenses,Daily spending ($),dollar,2010,8.19
Maui visitors,All other expenses,Daily spending ($),dollar,2011,5.9
Maui visitors,All other expenses,Daily spending ($),dollar,2012,6.03
Maui visitors,All other expenses,Daily spending ($),dollar,2013,6.9
